invoice_id,customer_id,issue_date,due_date,paid_date,amount,currency,status,country
INV001,C001,2024-01-01,2024-01-31,2024-01-28,1200,DKK,paid,DK
INV002,C002,2024-01-01,2024-01-31,,600,NOK,overdue,NO
INV003,C003,2024-01-01,2024-01-31,2024-01-30,2400,SEK,paid,SE
INV004,C004,2024-01-01,2024-01-31,,700,EUR,overdue,DE
INV005,C005,2024-01-01,2024-01-31,2024-02-05,1900,EUR,paid_late,NL
INV006,C006,2024-01-01,2024-01-31,2024-01-29,5500,USD,paid,US
INV007,C007,2024-01-01,2024-01-31,,550,DKK,overdue,DK
INV008,C008,2024-01-01,2024-01-31,2024-02-10,1800,NOK,paid_late,NO
INV009,C009,2024-02-01,2024-02-29,2024-02-27,580,SEK,paid,SE
INV010,C010,2024-02-01,2024-02-29,2024-02-25,6200,EUR,paid,DE
INV011,C011,2024-02-01,2024-02-29,,620,EUR,overdue,NL
INV012,C012,2024-02-01,2024-02-29,2024-02-28,2100,USD,paid,US
INV013,C013,2024-02-01,2024-02-29,,530,DKK,overdue,DK
INV014,C014,2024-02-01,2024-02-29,2024-03-08,1100,NOK,paid_late,NO
INV015,C015,2024-02-01,2024-02-29,2024-02-20,7800,SEK,paid,SE
INV016,C016,2024-03-01,2024-03-31,2024-03-28,1650,EUR,paid,DE
INV017,C017,2024-03-01,2024-03-31,,590,EUR,overdue,NL
INV018,C018,2024-03-01,2024-03-31,2024-03-30,640,USD,paid,US
INV019,C019,2024-03-01,2024-03-31,2024-03-25,2200,DKK,paid,DK
INV020,C020,2024-03-01,2024-03-31,2024-04-05,1950,SEK,paid_late,SE
